rank,candidate_id,score,title
1,CAND_0018499,59.61,Senior Machine Learning Engineer
2,CAND_0002025,59.34,Senior AI Engineer
3,CAND_0039754,58.91,Senior Applied Scientist
4,CAND_0049538,58.2,Applied ML Engineer
5,CAND_0088025,57.08,Staff Machine Learning Engineer
6,CAND_0018722,56.68,Recommendation Systems Engineer
7,CAND_0061265,56.24,Recommendation Systems Engineer
8,CAND_0014440,56.22,Recommendation Systems Engineer
9,CAND_0033861,56.19,Senior NLP Engineer
10,CAND_0081846,56.03,Lead AI Engineer
11,CAND_0060072,55.69,Staff Machine Learning Engineer
12,CAND_0046525,55.65,Senior Machine Learning Engineer
13,CAND_0086022,55.46,Senior Applied Scientist
14,CAND_0046064,55.4,Senior NLP Engineer
15,CAND_0041610,55.37,Recommendation Systems Engineer
16,CAND_0077337,55.3,Staff Machine Learning Engineer
17,CAND_0055905,55.25,Senior Machine Learning Engineer
18,CAND_0093547,55.0,Senior Machine Learning Engineer
19,CAND_0071974,54.85,Senior AI Engineer
20,CAND_0070202,54.68,Machine Learning Engineer
21,CAND_0069905,54.67,Applied ML Engineer
22,CAND_0041669,54.63,Recommendation Systems Engineer
23,CAND_0005649,54.49,Senior Data Scientist
24,CAND_0064326,54.47,Search Engineer
25,CAND_0005260,54.24,Senior NLP Engineer
26,CAND_0070398,54.11,Machine Learning Engineer
27,CAND_0008425,53.82,Senior NLP Engineer
28,CAND_0066376,53.62,Applied ML Engineer
29,CAND_0028793,53.58,Search Engineer
30,CAND_0075249,53.53,Applied ML Engineer
31,CAND_0086151,53.25,Recommendation Systems Engineer
32,CAND_0098846,53.17,AI Engineer
33,CAND_0062247,52.69,AI Engineer
34,CAND_0052328,52.52,Recommendation Systems Engineer
35,CAND_0044883,52.5,AI Engineer
36,CAND_0055992,52.47,AI Engineer
37,CAND_0093912,52.39,Senior Data Scientist
38,CAND_0030827,52.18,Senior Data Scientist
39,CAND_0040887,52.07,Machine Learning Engineer
40,CAND_0099806,52.05,AI Engineer
41,CAND_0026532,51.98,Recommendation Systems Engineer
42,CAND_0061339,51.51,Search Engineer
43,CAND_0084819,51.46,Search Engineer
44,CAND_0045250,51.42,Applied ML Engineer
45,CAND_0011687,51.34,Senior NLP Engineer
46,CAND_0094759,51.11,Lead AI Engineer
47,CAND_0051292,51.07,Applied ML Engineer
48,CAND_0000031,51.0,Recommendation Systems Engineer
49,CAND_0054123,50.85,Applied ML Engineer
50,CAND_0083307,50.73,Search Engineer
51,CAND_0044222,50.71,AI Engineer
52,CAND_0024466,50.69,Search Engineer
53,CAND_0029367,50.63,Senior Data Scientist
54,CAND_0041568,50.48,Search Engineer
55,CAND_0006557,50.44,NLP Engineer
56,CAND_0079064,50.44,Senior Data Scientist
57,CAND_0012957,50.39,Search Engineer
58,CAND_0096142,50.38,Applied ML Engineer
59,CAND_0042506,50.32,Search Engineer
60,CAND_0092278,50.26,Senior NLP Engineer
61,CAND_0037566,50.24,Machine Learning Engineer
62,CAND_0079387,50.16,AI Engineer
63,CAND_0050454,50.09,AI Engineer
64,CAND_0018549,50.07,Recommendation Systems Engineer
65,CAND_0024620,49.99,AI Engineer
66,CAND_0065195,49.88,Search Engineer
67,CAND_0042029,49.74,Senior Data Scientist
68,CAND_0081686,49.72,Search Engineer
69,CAND_0041611,49.4,Staff Machine Learning Engineer
70,CAND_0031593,49.36,Search Engineer
71,CAND_0011162,49.26,Recommendation Systems Engineer
72,CAND_0001610,49.25,Machine Learning Engineer
73,CAND_0047721,49.23,Senior Data Scientist
74,CAND_0020708,49.21,Search Engineer
75,CAND_0076251,49.19,Search Engineer
76,CAND_0039383,49.18,Applied ML Engineer
77,CAND_0065878,49.13,Senior Data Scientist
78,CAND_0013613,49.02,Machine Learning Engineer
79,CAND_0051615,49.0,Search Engineer
80,CAND_0007411,48.96,Senior Machine Learning Engineer
81,CAND_0076904,48.79,Senior Data Scientist
82,CAND_0049896,48.78,Search Engineer
83,CAND_0013536,48.62,Applied ML Engineer
84,CAND_0094056,48.55,NLP Engineer
85,CAND_0054394,48.4,Recommendation Systems Engineer
86,CAND_0078002,48.34,Machine Learning Engineer
87,CAND_0068811,48.17,Applied ML Engineer
88,CAND_0040117,48.05,Recommendation Systems Engineer
89,CAND_0050876,47.96,Applied ML Engineer
90,CAND_0019480,47.95,NLP Engineer
91,CAND_0044890,47.9,AI Research Engineer
92,CAND_0016163,47.83,Applied ML Engineer
93,CAND_0064904,47.75,AI Engineer
94,CAND_0051630,47.74,Machine Learning Engineer
95,CAND_0075574,47.72,Machine Learning Engineer
96,CAND_0007460,47.58,AI Engineer
97,CAND_0030348,47.5,Machine Learning Engineer
98,CAND_0037944,47.38,Senior Data Scientist
99,CAND_0036437,47.37,Search Engineer
100,CAND_0095528,47.33,Senior Data Scientist
101,CAND_0099401,47.28,NLP Engineer
102,CAND_0091534,47.16,AI Engineer
103,CAND_0060054,47.1,AI Engineer
104,CAND_0078042,46.97,Applied ML Engineer
105,CAND_0006567,46.82,Senior AI Engineer
106,CAND_0066999,46.8,Recommendation Systems Engineer
107,CAND_0016170,46.74,AI Research Engineer
108,CAND_0009024,46.57,Search Engineer
109,CAND_0020877,46.57,Applied ML Engineer
110,CAND_0006418,46.55,Machine Learning Engineer
111,CAND_0053695,46.48,Recommendation Systems Engineer
112,CAND_0015528,46.4,Applied ML Engineer
113,CAND_0080766,46.37,Staff Machine Learning Engineer
114,CAND_0030031,46.31,AI Engineer
115,CAND_0061175,46.22,AI Research Engineer
116,CAND_0044855,45.91,Senior Data Scientist
117,CAND_0096172,45.91,NLP Engineer
118,CAND_0009691,45.79,Applied ML Engineer
119,CAND_0057701,45.79,Recommendation Systems Engineer
120,CAND_0076831,45.7,Search Engineer
121,CAND_0061655,45.56,Machine Learning Engineer
122,CAND_0030953,45.5,Search Engineer
123,CAND_0001930,45.45,Senior Software Engineer (ML)
124,CAND_0057563,45.41,NLP Engineer
125,CAND_0064270,45.29,Applied ML Engineer
126,CAND_0047521,45.23,Junior ML Engineer
127,CAND_0053591,45.08,AI Engineer
128,CAND_0058575,45.05,AI Engineer
129,CAND_0003977,45.03,Recommendation Systems Engineer
130,CAND_0052335,44.98,Applied ML Engineer
131,CAND_0037000,44.89,Search Engineer
132,CAND_0010685,44.88,NLP Engineer
133,CAND_0070485,44.88,Search Engineer
134,CAND_0032515,44.75,Machine Learning Engineer
135,CAND_0043228,44.73,Applied ML Engineer
136,CAND_0043381,44.66,AI Research Engineer
137,CAND_0007009,44.58,Recommendation Systems Engineer
138,CAND_0036184,44.44,Recommendation Systems Engineer
139,CAND_0090300,44.35,AI Research Engineer
140,CAND_0078492,44.33,Recommendation Systems Engineer
141,CAND_0092706,44.28,AI Research Engineer
142,CAND_0042100,44.1,Machine Learning Engineer
143,CAND_0027691,44.09,NLP Engineer
144,CAND_0008239,44.07,AI Engineer
145,CAND_0081709,44.03,AI Research Engineer
146,CAND_0081852,43.93,Senior Data Scientist
147,CAND_0074735,43.89,Applied ML Engineer
148,CAND_0092245,43.87,Senior Data Scientist
149,CAND_0049978,43.85,Senior Software Engineer (ML)
150,CAND_0014858,43.84,AI Research Engineer
151,CAND_0007412,43.82,Applied ML Engineer
152,CAND_0005538,43.66,Senior AI Engineer
153,CAND_0030468,43.56,Senior Applied Scientist
154,CAND_0076163,43.56,NLP Engineer
155,CAND_0022812,43.45,Applied ML Engineer
156,CAND_0063585,43.45,AI Research Engineer
157,CAND_0074225,43.32,Machine Learning Engineer
158,CAND_0077285,43.23,Recommendation Systems Engineer
159,CAND_0017960,43.21,Recommendation Systems Engineer
160,CAND_0009837,43.2,Senior Data Scientist
161,CAND_0037980,43.13,Senior Applied Scientist
162,CAND_0010541,43.12,AI Research Engineer
163,CAND_0083879,43.01,Machine Learning Engineer
164,CAND_0045862,42.89,AI Specialist
165,CAND_0052682,42.83,NLP Engineer
166,CAND_0016267,42.82,AI Specialist
167,CAND_0008295,42.8,AI Research Engineer
168,CAND_0011327,42.8,AI Research Engineer
169,CAND_0049615,42.79,ML Engineer
170,CAND_0079284,42.76,Machine Learning Engineer
171,CAND_0093799,42.72,Data Scientist
172,CAND_0011125,42.59,Junior ML Engineer
173,CAND_0052712,42.57,AI Research Engineer
174,CAND_0035879,42.51,AI Research Engineer
175,CAND_0059504,42.5,Junior ML Engineer
176,CAND_0002120,42.48,ML Engineer
177,CAND_0093185,42.46,AI Research Engineer
178,CAND_0065835,42.39,Junior ML Engineer
179,CAND_0098952,42.33,AI Research Engineer
180,CAND_0010257,42.32,Senior Data Scientist
181,CAND_0011643,42.27,AI Research Engineer
182,CAND_0033179,42.22,AI Research Engineer
183,CAND_0091909,42.19,Machine Learning Engineer
184,CAND_0043676,42.16,Senior Software Engineer (ML)
185,CAND_0067643,42.15,AI Research Engineer
186,CAND_0051004,42.09,Senior Data Scientist
187,CAND_0021491,42.08,AI Research Engineer
188,CAND_0082489,42.06,ML Engineer
189,CAND_0068351,42.03,Lead AI Engineer
190,CAND_0097896,42.02,AI Research Engineer
191,CAND_0066798,42.0,ML Engineer
192,CAND_0069638,41.92,Computer Vision Engineer
193,CAND_0000981,41.89,ML Engineer
194,CAND_0022852,41.89,AI Research Engineer
195,CAND_0079830,41.81,Junior ML Engineer
196,CAND_0068932,41.8,ML Engineer
197,CAND_0010603,41.77,ML Engineer
198,CAND_0023215,41.76,Junior ML Engineer
199,CAND_0043829,41.69,AI Research Engineer
200,CAND_0070525,41.68,Senior Software Engineer (ML)
201,CAND_0036863,41.6,Senior Data Scientist
202,CAND_0032527,41.49,Junior ML Engineer
203,CAND_0043958,41.49,AI Research Engineer
204,CAND_0060303,41.47,AI Research Engineer
205,CAND_0036973,41.45,AI Research Engineer
206,CAND_0024878,41.41,AI Specialist
207,CAND_0087364,41.38,Recommendation Systems Engineer
208,CAND_0001218,41.37,AI Specialist
209,CAND_0064331,41.35,Senior Software Engineer (ML)
210,CAND_0015643,41.34,AI Research Engineer
211,CAND_0004972,41.3,ML Engineer
212,CAND_0005311,41.28,AI Research Engineer
213,CAND_0059017,41.28,AI Research Engineer
214,CAND_0001494,41.26,Data Scientist
215,CAND_0095207,41.25,Computer Vision Engineer
216,CAND_0095567,41.25,Data Scientist
217,CAND_0039838,41.24,Recommendation Systems Engineer
218,CAND_0033749,41.22,Computer Vision Engineer
219,CAND_0008517,41.18,AI Research Engineer
220,CAND_0082913,41.14,Senior Software Engineer (ML)
221,CAND_0048166,41.1,ML Engineer
222,CAND_0066309,41.08,Senior Software Engineer (ML)
223,CAND_0018604,41.06,Junior ML Engineer
224,CAND_0073007,41.05,AI Specialist
225,CAND_0004402,41.04,AI Research Engineer
226,CAND_0072660,40.99,Machine Learning Engineer
227,CAND_0049771,40.98,AI Research Engineer
228,CAND_0022720,40.96,AI Research Engineer
229,CAND_0060340,40.93,Computer Vision Engineer
230,CAND_0067866,40.93,Senior Software Engineer (ML)
231,CAND_0088878,40.93,Senior Software Engineer (ML)
232,CAND_0095619,40.93,NLP Engineer
233,CAND_0018925,40.88,AI Research Engineer
234,CAND_0025640,40.85,AI Research Engineer
235,CAND_0018888,40.83,AI Research Engineer
236,CAND_0064130,40.8,AI Research Engineer
237,CAND_0058412,40.79,Senior Software Engineer (ML)
238,CAND_0072232,40.79,ML Engineer
239,CAND_0049831,40.78,Computer Vision Engineer
240,CAND_0041348,40.77,AI Research Engineer
241,CAND_0023587,40.73,ML Engineer
242,CAND_0020494,40.72,AI Research Engineer
243,CAND_0024147,40.69,ML Engineer
244,CAND_0021410,40.68,Junior ML Engineer
245,CAND_0091890,40.66,AI Research Engineer
246,CAND_0038206,40.65,Data Scientist
247,CAND_0082314,40.63,Junior ML Engineer
248,CAND_0043860,40.6,Junior ML Engineer
249,CAND_0070333,40.6,AI Research Engineer
250,CAND_0069248,40.57,AI Research Engineer
251,CAND_0048509,40.56,AI Research Engineer
252,CAND_0017918,40.53,ML Engineer
253,CAND_0052360,40.53,ML Engineer
254,CAND_0016678,40.48,Junior ML Engineer
255,CAND_0027801,40.46,NLP Engineer
256,CAND_0090155,40.46,ML Engineer
257,CAND_0039308,40.41,AI Research Engineer
258,CAND_0028527,40.4,AI Specialist
259,CAND_0040092,40.33,Senior Software Engineer (ML)
260,CAND_0002037,40.31,ML Engineer
261,CAND_0032807,40.24,Machine Learning Engineer
262,CAND_0013988,40.18,Junior ML Engineer
263,CAND_0076995,40.14,AI Research Engineer
264,CAND_0040820,40.13,Senior Software Engineer (ML)
265,CAND_0075439,40.06,Machine Learning Engineer
266,CAND_0086893,40.06,ML Engineer
267,CAND_0037424,40.01,AI Research Engineer
268,CAND_0081053,39.95,NLP Engineer
269,CAND_0058152,39.92,Data Scientist
270,CAND_0014063,39.89,AI Specialist
271,CAND_0021827,39.87,AI Research Engineer
272,CAND_0015578,39.84,AI Engineer
273,CAND_0006538,39.83,AI Specialist
274,CAND_0089552,39.83,Machine Learning Engineer
275,CAND_0056262,39.8,Junior ML Engineer
276,CAND_0009200,39.78,AI Specialist
277,CAND_0051486,39.78,AI Specialist
278,CAND_0087316,39.75,AI Research Engineer
279,CAND_0037290,39.74,Computer Vision Engineer
280,CAND_0059795,39.73,Senior Software Engineer (ML)
281,CAND_0034169,39.72,AI Research Engineer
282,CAND_0097472,39.72,Junior ML Engineer
283,CAND_0048469,39.69,Computer Vision Engineer
284,CAND_0071033,39.58,Data Scientist
285,CAND_0060257,39.54,AI Specialist
286,CAND_0016659,39.53,ML Engineer
287,CAND_0037160,39.52,Data Scientist
288,CAND_0085335,39.51,ML Engineer
289,CAND_0093883,39.5,AI Research Engineer
290,CAND_0036484,39.49,AI Research Engineer
291,CAND_0054318,39.48,AI Research Engineer
292,CAND_0058146,39.43,AI Research Engineer
293,CAND_0024990,39.37,Junior ML Engineer
294,CAND_0025882,39.36,Senior Software Engineer (ML)
295,CAND_0040178,39.29,ML Engineer
296,CAND_0031752,39.28,ML Engineer
297,CAND_0013393,39.24,ML Engineer
298,CAND_0018653,39.22,ML Engineer
299,CAND_0058688,39.21,AI Engineer
300,CAND_0015967,39.18,Senior Software Engineer (ML)
301,CAND_0087766,39.18,Computer Vision Engineer
302,CAND_0074325,39.16,AI Research Engineer
303,CAND_0093331,39.15,NLP Engineer
304,CAND_0020991,39.11,Junior ML Engineer
305,CAND_0051219,39.11,AI Research Engineer
306,CAND_0043318,39.09,Data Scientist
307,CAND_0084391,39.07,AI Research Engineer
308,CAND_0095858,39.05,AI Research Engineer
309,CAND_0045613,39.04,Computer Vision Engineer
310,CAND_0071205,39.02,Senior Software Engineer (ML)
311,CAND_0066035,38.99,Data Scientist
312,CAND_0040200,38.87,AI Research Engineer
313,CAND_0081321,38.85,Senior Software Engineer (ML)
314,CAND_0053431,38.82,ML Engineer
315,CAND_0085557,38.75,Data Scientist
316,CAND_0061352,38.74,ML Engineer
317,CAND_0069386,38.66,ML Engineer
318,CAND_0073620,38.63,AI Research Engineer
319,CAND_0013122,38.62,AI Specialist
320,CAND_0070808,38.57,Junior ML Engineer
321,CAND_0028422,38.54,Junior ML Engineer
322,CAND_0099751,38.54,Junior ML Engineer
323,CAND_0060835,38.52,Senior Software Engineer (ML)
324,CAND_0002344,38.51,Senior Software Engineer (ML)
325,CAND_0077956,38.46,Computer Vision Engineer
